	Material 	DescricaoMaterial	Centro	Custo acumulado	Custo/pç.	QuantidadeEntrada	PartNumber	QuebrasN	Custopeca
37	4701200036	REBAIXADOR FRONTAL Ø1,44 (POLIR )	685.6080000000001	3338,60	0,0038372286809455	30.0	4701200036	5	0.0038372286809455
38	4706100129	FRESA Ø1,45 CRIN	685.6080000000001	3081,06	0,0035412244053537	34.0	4706100129	1	0.0035412244053537
39	4706100170	FRESA TOPO Ø6,0 ( CRIN )	685.6080000000001	2628,96	0,0030216020826270	25.0	4706100170	2	0.003021602082627
40	4706100122	FRESA Ø1,45 CRIN TIER/CUM/PEG N1=N3	685.6080000000001	1841,31	0,0021163144858658	26.0	4706100122	10	0.0021163144858658
41	4700700214	BROCA FORMA (CRIN2)	685.6080000000001	1751,99	0,0020136543092103	5.0	4700700214	4	0.0020136543092103
42	4706100055	FRESA ESCALONADA	685.6080000000001	1453,17	0,0016702047571705	8.0	4706100055	2	0.0016702047571705
43	4701800057	BROCA DE CENTRO D.6,0 - BY 70 034 R000	685.6080000000001	1333,09	0,0015321904937044	11.0	4701800057	1	0.0015321904937044
44	4700700216	BROCA ESCALONADA	685.6080000000001	1242,08	0,0014275879111091	4.0	4700700216	1	0.0014275879111091
45	4700100857	BROCA D.3,0 CRIN2/3	685.6080000000001	573,73	0,0006594180827649	5.0	4700100857	1	0.0006594180827649
46	4700100856	BROCA D.1,83 ( CRIN ) MWM/IVECO	685.6080000000001	393,59	0,0004523737005132	5.0	4700100856	1	0.0004523737005132
47	4701200034	REBAIXADOR FRONTAL D.2,99 - BS 70003R0#	685.6080000000001	287,42	0,0003303469320905	3.0	4701200034	1	0.0003303469320905
48	4706100097	FRESA 4 CORTES Ø6 ( CRI-N )	685.6080000000001	141,75	0,0001629207348961	2.0	4706100097	1	0.0001629207348961
